id;DATE_TIME;PERIOD;HOUR;IRRADIATION;AC_POWER;AMBIENT_TEMPERATURE;EFFICIENCY;label_humain
103960;2020-06-02 15:45:00;Midi;15;0.34;550.53;31.93;1641.52;0
3509;2020-05-16 19:30:00;Soir;19;0.0;0.0;27.57;0.0;0
96607;2020-05-30 04:00:00;Nuit;4;0.0;0.0;24.0;0.0;0
135281;2020-06-17 12:30:00;Midi;12;0.47;748.73;28.2;1590.0;0
79681;2020-05-20 12:15:00;Midi;12;0.92;1291.24;31.92;1398.26;0
19124;2020-05-24 23:00:00;Nuit;23;0.0;0.0;24.31;0.0;0
42454;2020-06-05 12:15:00;Midi;12;0.32;516.31;27.64;1597.26;0
32927;2020-05-31 22:45:00;Nuit;22;0.0;0.0;23.67;0.0;0
8875;2020-05-19 08:30:00;Matin;8;0.3;406.51;25.62;1365.11;0
29066;2020-05-30 02:15:00;Nuit;2;0.0;0.0;21.32;0.0;0
24480;2020-05-27 12:45:00;Midi;12;0.63;857.16;32.27;1366.2;0
121415;2020-06-10 22:45:00;Nuit;22;0.0;0.0;24.87;0.0;0
120970;2020-06-10 17:45:00;Midi;17;0.01;10.59;27.76;1378.66;0
83612;2020-05-22 17:45:00;Midi;17;0.09;131.2;36.01;1435.99;0
10140;2020-05-20 00:15:00;Nuit;0;0.0;0.0;22.26;0.0;0
63911;2020-06-15 17:30:00;Midi;17;0.1;139.51;26.74;1371.93;0
126238;2020-06-13 05:30:00;Nuit;5;0.0;0.0;22.42;0.0;0
50831;2020-06-09 12:30:00;Midi;12;0.78;970.3;30.09;1243.52;0
66069;2020-06-16 18:00:00;Soir;18;0.05;67.57;25.89;1383.1;0
35067;2020-06-01 23:00:00;Nuit;23;0.0;0.0;22.48;0.0;0
34569;2020-06-01 17:15:00;Midi;17;0.06;94.66;25.86;1479.6;0
118287;2020-06-09 11:15:00;Matin;11;0.79;1234.41;32.18;1553.25;0
111673;2020-06-06 08:00:00;Matin;8;0.31;394.17;25.49;1284.51;0
25665;2020-05-28 03:00:00;Nuit;3;0.0;0.0;22.42;0.0;0
16889;2020-05-23 21:15:00;Soir;21;0.0;0.0;26.09;0.0;0
131042;2020-06-15 12:15:00;Midi;12;0.82;0.0;31.54;0.0;1
50718;2020-06-09 11:15:00;Matin;11;0.92;1231.49;30.38;1334.58;0
39586;2020-06-04 03:00:00;Nuit;3;0.0;0.0;22.51;0.0;0
119755;2020-06-10 04:00:00;Nuit;4;0.0;0.0;24.47;0.0;0
123487;2020-06-11 22:15:00;Nuit;22;0.0;0.0;23.11;0.0;0
62383;2020-06-15 00:15:00;Nuit;0;0.0;0.0;23.19;0.0;0
60549;2020-06-14 03:00:00;Nuit;3;0.0;0.0;22.3;0.0;0
2571;2020-05-16 09:00:00;Matin;9;0.46;624.49;26.0;1354.09;0
76895;2020-05-18 22:00:00;Nuit;22;0.0;0.0;26.31;0.0;0
81290;2020-05-21 09:30:00;Matin;9;0.68;894.63;29.27;1317.96;0
12071;2020-05-21 11:00:00;Matin;11;0.72;1079.93;29.21;1492.57;0
47876;2020-06-08 03:00:00;Nuit;3;0.0;0.0;22.25;0.0;0
133935;2020-06-16 21:00:00;Soir;21;0.0;0.0;24.53;0.0;0
114704;2020-06-07 18:30:00;Soir;18;0.02;25.76;29.78;1338.2;0
28747;2020-05-29 22:30:00;Nuit;22;0.0;0.0;22.48;0.0;0
28864;2020-05-30 00:00:00;Nuit;0;0.0;0.0;21.53;0.0;0
81970;2020-05-21 19:00:00;Soir;19;0.0;0.0;31.58;0.0;0
21701;2020-05-26 04:45:00;Nuit;4;0.0;0.0;21.55;0.0;0
39031;2020-06-03 20:30:00;Soir;20;0.0;0.0;23.66;0.0;0
81811;2020-05-21 16:45:00;Midi;16;0.28;432.23;35.86;1552.25;0
92664;2020-05-27 23:30:00;Nuit;23;0.0;0.0;27.15;0.0;0
61235;2020-06-14 11:00:00;Matin;11;0.64;916.83;27.08;1431.07;0
14137;2020-05-22 11:15:00;Matin;11;0.55;748.17;28.86;1352.79;0
91256;2020-05-27 04:00:00;Nuit;4;0.0;0.0;25.85;0.0;0
30082;2020-05-30 14:15:00;Midi;14;0.85;1113.09;30.11;1308.29;0
65872;2020-06-16 15:45:00;Midi;15;0.36;501.04;28.18;1397.56;0
18365;2020-05-24 14:15:00;Midi;14;0.83;1096.45;33.55;1317.33;0
8931;2020-05-19 09:15:00;Matin;9;0.42;580.48;26.5;1368.66;0
19537;2020-05-25 03:30:00;Nuit;3;0.0;0.0;23.57;0.0;0
121345;2020-06-10 22:00:00;Nuit;22;0.0;0.0;25.3;0.0;0
84809;2020-05-23 10:30:00;Matin;10;0.9;0.0;33.65;0.0;1
102151;2020-06-01 19:15:00;Soir;19;0.0;0.0;23.59;0.0;0
111203;2020-06-06 02:30:00;Nuit;2;0.0;0.0;23.59;0.0;0
13152;2020-05-22 00:00:00;Nuit;0;0.0;0.0;23.76;0.0;0
51513;2020-06-09 20:15:00;Soir;20;0.0;0.0;24.67;0.0;0
57074;2020-06-12 11:30:00;Matin;11;0.68;1045.47;25.79;1548.15;0
